"State","n_cattle","n_cattle_sd","area_ha","pastue_tot_201819_ha","stocking_rate_ha","municipality","mod_deg_perc_201819","sev_deg_perc_201819","crop_201819_perc","mod_pasture_deg_sum_201819_ha","sev_pasture_deg_sum_201819_ha","crop_201819_tot_ha","forest_tot_2013_2014_ha","forest_perc_2013_2014","defo_perc_2013_14","defo_perc_2014_15","defo_perc_2015_16","defo_perc_2016_17","defo_perc_13_17","forest_201819_perc","nearest_fedSh_km","agricultural_credits_1000R","mean_market_share_g4_1317","imagedate"
"AC",34,0.234997587325686,39.843,39.148,1.129,"1200013",48.78,0,0,19.4791,0,0,2.5224,6.317,0,0,0,0,0,1.96,0.825183808270933,0.824738468,0,2019-07-11
"AC",8,0.124721912892465,9.088,9.1086,1.142,"1200013",52.01,0,0,4.7371,0,0,0,0,0,0,0,0,0,0,0.773420153468489,0.824738468,0,2020-05-17
"AC",27,0.0416583291631631,72.291,46.2863,0.758,"1200013",17.54,0,0,12.706,0,0,24.6695,34.049,0,0,0,0,0,36.12,0.832396685338396,0.824738468,0,2019-07-11
"AC",9,0.0988775498396262,14.006,13.6357,0.858,"1200013",79.06,17.99,0,11.0978,2.5257,0,0,0,0,0,0,0,0,0,0.758991761100693,0.824738468,0,2020-05-17
"AC",42,0.122913222770765,78.68,53.4532,1.021,"1200013",0,0,0,0,0,0,11.5969,14.707,0,0,0,0,0,29.63,0.786188082444736,0.824738468,0,2019-07-11
"AC",48,0.062951651706424,102.838,96.5669,0.646,"1200013",52.37,0,0,53.976,0,0,1.317,1.278,0,0,0,0,0,5.83,0.786032516028589,0.824738468,0,2019-07-11
"AC",29,0.105087198129332,80.661,66.4949,0.567,"1200013",41.27,0,0,33.3613,0,0,13.4497,16.637,0,0,0.011,0,0.011,17.75,0.76645306258191,0.824738468,0,2019-07-11
"AC",23,0.0786476151587624,35.145,29.5998,1.01,"1200013",1.41,0,0,0.4971,0,0,3.6998,10.504,0,0,0,0,0,15.97,0.772612420678128,0.824738468,0,2020-05-17
"AC",6,0.0679409808637141,40.521,35.3203,0.221,"1200013",30.1,0.9,0,12.2258,0.3665,0,4.5604,11.229,0,0,0,0,0,13.03,0.809671488160685,0.824738468,0,2019-07-11
"AC",6,0.0699854212223765,23.827,22.439,0.348,"1200013",15.26,0,0,3.6432,0,0,0.0138,0.058,0,0,0,0,0,3.62,0.756637687916257,0.824738468,0,2020-05-17
